Player,ESPN_Player_ID,Representative_Team,Photo_URL,ESPN_Profile_URL
BA Stokes,e087956b,Chennai Super Kings,https://a.espncdn.com/i/headshots/cricket/players/full/e087956b.png,https://www.espncricinfo.com/cricketers/ba-stokes-e087956b
BAW Mendis,ea0cdc12,Kolkata Knight Riders,https://a.espncdn.com/i/headshots/cricket/players/full/ea0cdc12.png,https://www.espncricinfo.com/cricketers/baw-mendis-ea0cdc12
BB McCullum,b8a55852,Chennai Super Kings,https://a.espncdn.com/i/headshots/cricket/players/full/b8a55852.png,https://www.espncricinfo.com/cricketers/bb-mccullum-b8a55852
BB Samantray,53f27a35,Deccan Chargers,https://a.espncdn.com/i/headshots/cricket/players/full/53f27a35.png,https://www.espncricinfo.com/cricketers/bb-samantray-53f27a35
BB Sran,d8b2f218,Kings XI Punjab,https://a.espncdn.com/i/headshots/cricket/players/full/d8b2f218.png,https://www.espncricinfo.com/cricketers/bb-sran-d8b2f218
BCJ Cutting,2e11c706,Mumbai Indians,https://a.espncdn.com/i/headshots/cricket/players/full/2e11c706.png,https://www.espncricinfo.com/cricketers/bcj-cutting-2e11c706
BE Hendricks,b56dc5f7,Kings XI Punjab,https://a.espncdn.com/i/headshots/cricket/players/full/b56dc5f7.png,https://www.espncricinfo.com/cricketers/be-hendricks-b56dc5f7
BJ Dwarshuis,e1b9f3a9,Punjab Kings,https://a.espncdn.com/i/headshots/cricket/players/full/e1b9f3a9.png,https://www.espncricinfo.com/cricketers/bj-dwarshuis-e1b9f3a9
BJ Haddin,b0c772ee,Kolkata Knight Riders,https://a.espncdn.com/i/headshots/cricket/players/full/b0c772ee.png,https://www.espncricinfo.com/cricketers/bj-haddin-b0c772ee
BJ Hodge,b57f8a9a,Kochi Tuskers Kerala,https://a.espncdn.com/i/headshots/cricket/players/full/b57f8a9a.png,https://www.espncricinfo.com/cricketers/bj-hodge-b57f8a9a
BJ Rohrer,27af6414,Delhi Daredevils,https://a.espncdn.com/i/headshots/cricket/players/full/27af6414.png,https://www.espncricinfo.com/cricketers/bj-rohrer-27af6414
BKG Mendis,5d1e7582,Gujarat Titans,https://a.espncdn.com/i/headshots/cricket/players/full/5d1e7582.png,https://www.espncricinfo.com/cricketers/bkg-mendis-5d1e7582
BMAJ Mendis,9868bc75,Delhi Daredevils,https://a.espncdn.com/i/headshots/cricket/players/full/9868bc75.png,https://www.espncricinfo.com/cricketers/bmaj-mendis-9868bc75
BR Dunk,272d796e,Mumbai Indians,https://a.espncdn.com/i/headshots/cricket/players/full/272d796e.png,https://www.espncricinfo.com/cricketers/br-dunk-272d796e
BR Sharath,c2dd89ea,Gujarat Titans,https://a.espncdn.com/i/headshots/cricket/players/full/c2dd89ea.png,https://www.espncricinfo.com/cricketers/br-sharath-c2dd89ea
BW Hilfenhaus,f3171936,Chennai Super Kings,https://a.espncdn.com/i/headshots/cricket/players/full/f3171936.png,https://www.espncricinfo.com/cricketers/bw-hilfenhaus-f3171936
Basil Thampi,871e9faf,Gujarat Lions,https://a.espncdn.com/i/headshots/cricket/players/full/871e9faf.png,https://www.espncricinfo.com/cricketers/basil-thampi-871e9faf
