season,batter,matches,runs,balls,fours,sixes,strike_rate
2024,Ishan Kishan,14,320,214,35,16,149.53
2024,J Fraser-McGurk,9,330,139,32,28,237.41
2024,JA Richardson,1,2,2,0,0,100.0
2024,JC Buttler,11,359,254,36,12,141.34
2024,JD Unadkat,5,24,26,2,1,92.31
2024,JJ Bumrah,4,12,12,1,0,100.0
2024,JM Bairstow,11,298,195,33,14,152.82
2024,JM Sharma,12,187,142,9,12,131.69
2024,K Rabada,3,20,14,0,2,142.86
2024,KA Maharaj,1,1,2,0,0,50.0
2024,KD Karthik,13,326,173,27,22,188.44
2024,KH Pandya,11,133,105,8,5,126.67
2024,KL Rahul,14,520,380,45,19,136.84
2024,KS Williamson,2,27,27,4,0,100.0
2024,KV Sharma,3,31,15,2,3,206.67
2024,Kuldeep Yadav,5,47,41,6,1,114.63
2024,Kumar Kushagra,3,3,7,0,0,42.86
2024,L Wood,1,9,3,0,1,300.0
2024,LB Williams,1,1,2,0,0,50.0
2024,LH Ferguson,1,1,1,0,0,100.0
2024,LS Livingstone,7,111,78,8,7,142.31
2024,Lalit Yadav,2,10,12,1,0,83.33
2024,M Jansen,2,18,13,1,1,138.46
2024,M Shahrukh Khan,7,127,75,9,9,169.33
2024,MA Agarwal,4,64,57,8,1,112.28
2024,MA Starc,5,9,11,1,0,81.82
2024,MJ Santner,3,14,17,1,0,82.35
2024,MJ Suthar,1,1,2,0,0,50.0
2024,MK Lomror,10,125,68,9,9,183.82
2024,MK Pandey,1,42,30,2,2,140.0
2024,MM Ali,5,128,98,7,8,130.61
2024,MM Sharma,2,2,15,0,0,13.33
2024,MP Stoinis,14,388,261,39,16,148.66
2024,MR Marsh,4,61,38,9,3,160.53
2024,MS Dhoni,11,161,72,14,13,223.61
2024,MS Wade,1,4,6,0,0,66.67
2024,Mayank Dagar,1,0,1,0,0,0.0
2024,Mohammad Nabi,5,35,31,2,2,112.9
2024,Mohammed Siraj,1,12,8,0,2,150.0
2024,Mohsin Khan,1,2,1,0,0,200.0
2024,Mukesh Kumar,2,3,9,0,0,33.33
2024,N Pooran,14,499,279,35,36,178.85
2024,N Rana,2,42,34,5,1,123.53
2024,N Wadhera,6,109,84,9,6,129.76
2024,Naman Dhir,7,140,78,12,10,179.49
2024,Naveen-ul-Haq,1,2,4,0,0,50.0
2024,Nithish Kumar Reddy,11,303,212,15,21,142.92
2024,Noor Ahmad,2,5,9,1,0,55.56
2024,P Simran Singh,14,334,212,34,20,157.55
2024,PD Salt,12,435,235,50,24,185.11
2024,PJ Cummins,10,136,94,9,8,144.68
2024,PP Chawla,6,15,15,1,1,100.0
2024,PP Shaw,8,198,121,30,5,163.64
2024,Q de Kock,11,250,186,29,9,134.41
2024,R Ashwin,8,86,74,5,4,116.22
2024,R Parag,14,573,383,40,33,149.61
2024,R Powell,7,103,68,10,6,151.47
2024,R Ravindra,10,222,137,22,12,162.04
2024,R Sai Kishore,1,13,6,0,2,216.67
2024,R Shepherd,5,57,21,5,5,271.43
2024,R Tewatia,9,188,126,24,5,149.21
2024,RA Jadeja,11,267,187,22,8,142.78
2024,RA Tripathi,6,165,113,18,6,146.02
2024,RD Chahar,2,21,15,3,1,140.0
2024,RD Gaikwad,14,583,412,58,18,141.5
2024,RG Sharma,14,417,276,45,23,151.09
2024,RJ Gleeson,1,2,2,0,0,100.0
2024,RJW Topley,1,3,6,0,0,50.0
2024,RK Bhui,2,3,9,0,0,33.33
2024,RK Singh,11,168,111,13,8,151.35
2024,RM Patidar,13,395,223,21,33,177.13
2024,RR Pant,13,446,287,36,25,155.4
2024,RR Rossouw,8,211,115,25,11,183.48
2024,Rahmanullah Gurbaz,2,62,46,7,4,134.78
2024,Ramandeep Singh,9,125,61,5,12,204.92
2024,Rashid Khan,8,102,69,11,3,147.83
2024,Rasikh Salam,4,28,30,4,0,93.33
2024,Ravi Bishnoi,3,4,6,0,0,66.67
2024,S Dhawan,5,152,121,18,4,125.62
2024,S Dube,14,396,243,28,28,162.96
2024,SA Yadav,11,345,205,36,18,168.29
2024,SB Dubey,3,33,19,3,2,173.68
2024,SD Hope,9,183,122,12,12,150.0
2024,SH Johnson,3,6,7,1,0,85.71
2024,SM Curran,12,270,217,24,6,124.42
2024,SN Thakur,3,21,17,2,1,123.53
2024,SO Hetmyer,9,113,68,9,7,166.18
2024,SP Narine,14,488,269,50,33,181.41
2024,SS Iyer,14,351,239,34,14,146.86
2024,SS Prabhudessai,1,24,18,3,0,133.33
2024,SV Samson,15,531,343,48,24,154.81
2024,SZ Mulani,1,1,1,0,0,100.0
2024,Sameer Rizvi,5,51,43,4,2,118.6
2024,Sanvir Singh,3,14,12,1,0,116.67
2024,Saurav Chauhan,3,18,15,1,1,120.0
2024,Shahbaz Ahmed,12,215,166,7,13,129.52
2024,Shashank Singh,14,354,215,28,21,164.65
2024,Shivam Singh,1,2,3,0,0,66.67
2024,Shubman Gill,12,426,289,37,15,147.4
2024,Sikandar Raza,2,43,38,2,2,113.16
2024,Sumit Kumar,3,18,24,2,1,75.0
2024,Swapnil Singh,5,37,21,3,3,176.19
2024,T Kohler-Cadmore,3,48,54,7,1,88.89
2024,T Stubbs,13,378,196,24,26,192.86
2024,TA Boult,4,14,16,2,0,87.5
2024,TH David,11,241,150,14,15,160.67
2024,TM Head,15,567,294,64,32,192.86
2024,TU Deshpande,1,0,1,0,0,0.0
2024,Tanush Kotian,1,24,31,3,0,77.42
2024,Tilak Varma,13,416,277,35,19,150.18
